type,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
Control,Peel,L6V,Casual Dining,No,2,Yes,Yes,1-10,12.45,No
Control,Peel,L5H,Casual Dining,Franchise,21,Yes,Yes,10-20,18.34,No
Control,Toronto,M8H,Fast Casual,No,20,No,No,10-20,13.98,No
Control,Toronto,M7B,Family Style,No,1,No,No,1-10,10.03,No
Control,Peel,L6T,Casual Dining,Franchise,14,Yes,Yes,1-10,18.57,No
Control,Toronto,M8W,Fast Casual,No,3,Yes,Yes,10-20,18.16,No
Control,Toronto,M1B,Casual Dining,Franchise,7,Yes,Yes,10-20,19.76,No
Control,Peel,L4V,Fast Food,No,16,Yes,Yes,1-10,14.6,No
Control,York,L3Z,Fine Dining,No,19,Yes,Yes,1-10,15.64,No
Control,Toronto,M8X,Fast Food,Franchise,8,Yes,No,1-10,15.76,No
Control,Peel,L4Y,Casual Dining,No,5,Yes,Yes,10-20,19.15,No
Control,Peel,L5W,Fast Casual,No,10,Yes,No,10-20,17.76,No
Control,Peel,L5R,Casual Dining,No,10,Yes,Yes,20-30,20,No
Control,York,L6E,Family Style,No,17,Yes,No,1-10,20.28,No
Control,Durham,L1S,Fast Casual,No,4,Yes,Yes,10-20,18.93,No
Control,York,L3S,Casual Dining,Franchise,10,Yes,Yes,10-20,18.47,No
Control,Toronto,M1N,Family Style,No,14,Yes,No,10-20,17.98,No
Control,Durham,L1W,Casual Dining,No,17,Yes,No,20-30,13.46,No
Control,Halton,L6J,Casual Dining,No,8,Yes,No,10-20,19.09,No
Control,Durham,L9P,Premium Casual,No,18,Yes,Yes,1-10,15.17,No
Control,Halton,L9E,Fast Casual,No,12,Yes,Yes,20-30,20,No
Control,Toronto,M7O,Casual Dining,No,5,Yes,No,10-20,15.86,No
Control,Toronto,M6L,Family Style,No,8,Yes,Yes,10-20,15.6,No
Control,Durham,L9P,Family Style,No,1,Yes,Yes,10-20,13.64,No
Control,Toronto,M4M,Premium Casual,Franchise,10,Yes,Yes,1-10,19.22,No
Control,Toronto,M2B,Fast Casual,No,25,Yes,No,1-10,13.07,No
Control,Durham,L0E,Fast Casual,No,13,Yes,No,1-10,19.95,No
Control,Peel,L7A,Fine Dining,No,19,Yes,No,1-10,19.15,No
Control,York,L6B,Casual Dining,Franchise,10,Yes,No,1-10,12.99,No
Control,Toronto,M7F,Family Style,Franchise,4,Yes,No,10-20,15.24,No
Control,Toronto,M2X,Fast Food,No,10,Yes,No,10-20,14.98,No
Control,York,L0N,Family Style,No,3,Yes,Yes,10-20,22.28,No
Control,Halton,L6M,Fast Casual,No,14,Yes,No,1-10,15.48,No
Control,York,L7B,Family Style,No,13,Yes,Yes,10-20,17.32,No
Control,Peel,L6S,Premium Casual,No,2,Yes,No,10-20,16.09,No
Control,Peel,L7K,Casual Dining,Franchise,2,Yes,No,10-20,16.66,No
Control,Halton,L9T,Premium Casual,Franchise,6,Yes,Yes,1-10,16.65,No
Control,Halton,L0P,Casual Dining,No,22,Yes,No,10-20,20.22,No
Control,Halton,L9T,Family Style,Franchise,17,Yes,No,10-20,16.47,No
Control,Toronto,M8H,Family Style,No,22,Yes,No,1-10,19.96,No
Control,Halton,L7M,Premium Casual,No,6,No,Yes,10-20,16.78,No
Control,Peel,L6Y,Fast Casual,No,15,No,Yes,10-20,18.41,No
Control,Peel,L6S,Fast Casual,No,4,Yes,Yes,1-10,19.43,Yes
Control,Halton,L6M,Premium Casual,No,1,No,Yes,20-30,19.93,No
Treated,York,L9N,Fast Food,No,11,Yes,Yes,10-20,19.76,No
Treated,Peel,L5R,Casual Dining,Franchise,6,Yes,No,10-20,14.5,No
Treated,Toronto,M3M,Fast Casual,Franchise,15,Yes,No,1-10,20.64,No
Treated,Toronto,M8T,Fast Casual,No,12,Yes,Yes,10-20,15.79,No
Treated,Halton,L7P,Casual Dining,Franchise,20,Yes,No,>30,16.46,No
Treated,Peel,L7C,Casual Dining,No,8,No,No,1-10,18.84,No
Treated,Halton,L6M,Fast Casual,Franchise,11,Yes,No,1-10,18.52,No
Treated,Toronto,M4E,Casual Dining,Franchise,18,No,Yes,10-20,17.94,No
Treated,Peel,L4W,Casual Dining,Franchise,21,Yes,No,1-10,17.49,No
Treated,York,L7E,Casual Dining,No,2,Yes,No,10-20,16.88,No
Treated,Peel,L6T,Premium Casual,No,7,Yes,No,10-20,16.11,Yes
Treated,Durham,L1V,Casual Dining,No,7,Yes,Yes,10-20,14.9,No
Treated,Peel,L4T,Casual Dining,No,12,Yes,Yes,20-30,16.46,No
Treated,Toronto,M0R,Fast Casual,Franchise,18,Yes,No,10-20,15.38,No
Treated,Halton,L7S,Fast Food,Franchise,8,Yes,No,10-20,22.9,No
Treated,Peel,L5H,Fast Food,Franchise,12,Yes,No,10-20,18.56,No
Treated,Toronto,M4V,Casual Dining,No,11,Yes,Yes,1-10,16.43,No
Treated,Toronto,M4H,Fast Casual,No,15,Yes,No,20-30,16.97,No
Treated,York,L9N,Fast Casual,No,2,Yes,No,20-30,18.17,No
Treated,Halton,L7S,Family Style,No,4,Yes,No,1-10,18.74,No
Treated,Peel,L5P,Fast Casual,No,17,Yes,Yes,1-10,15.79,No
Treated,Toronto,M6D,Casual Dining,No,7,Yes,No,10-20,15.39,No
Treated,York,L0J,Premium Casual,No,13,Yes,Yes,10-20,18.14,No
Treated,Toronto,M5R,Casual Dining,No,3,Yes,No,10-20,19.15,No
Treated,Durham,L9L,Family Style,No,5,Yes,Yes,1-10,19.41,No
Treated,York,L9N,Casual Dining,Franchise,8,Yes,No,10-20,21.2,No
Treated,York,L9N,Family Style,No,11,Yes,Yes,10-20,21.7,No
Treated,York,L7E,Family Style,No,9,Yes,No,1-10,17.59,No
Treated,Toronto,M5L,Fast Casual,No,10,Yes,No,1-10,19.63,No
Treated,Durham,L9P,Casual Dining,Franchise,3,Yes,No,10-20,19.96,No
Treated,Toronto,M3P,Casual Dining,Franchise,8,No,No,10-20,18.21,No
Treated,Halton,L7L,Fast Casual,Franchise,8,Yes,No,1-10,13.91,No
Treated,Toronto,M5Z,Family Style,Franchise,3,Yes,No,10-20,16.86,No
Treated,Durham,L0B,Casual Dining,No,7,Yes,No,1-10,23.74,No
Treated,Toronto,M2L,Fast Food,No,1,Yes,No,1-10,18.34,No
Treated,Toronto,M7I,Fast Casual,No,13,Yes,No,20-30,19.28,No
Treated,Toronto,M8H,Casual Dining,No,20,Yes,Yes,10-20,17.31,No
Treated,York,L3Y,Fast Casual,No,9,No,Yes,10-20,16.41,No
Treated,Toronto,M2X,Fine Dining,No,14,Yes,Yes,1-10,21.57,No
Treated,York,L4A,Fast Casual,No,10,Yes,Yes,10-20,17.96,No
Treated,Toronto,M4S,Casual Dining,Franchise,12,Yes,Yes,10-20,21.76,No
Treated,York,L6A,Premium Casual,No,19,Yes,No,10-20,18.87,No
Treated,York,L7B,Casual Dining,No,10,No,No,20-30,15.54,No
Treated,York,L9N,Family Style,Franchise,15,Yes,Yes,1-10,17.13,No
Treated,Peel,L6X,Casual Dining,No,2,Yes,No,1-10,13.78,Yes
Treated,York,L7E,Casual Dining,Franchise,29,Yes,Yes,10-20,21.72,Yes
Treated,Durham,L9P,Fast Casual,No,5,Yes,Yes,1-10,17.24,No
Treated,Toronto,M8P,Fine Dining,No,5,Yes,Yes,1-10,19.8,No
Treated,Toronto,M9C,Casual Dining,Franchise,7,No,Yes,20-30,16.95,No
Treated,Halton,L9T,Fine Dining,No,2,No,Yes,1-10,18.78,No
Treated,Halton,L7M,Fine Dining,No,24,Yes,Yes,20-30,20.68,No
Treated,York,L9N,Fast Casual,No,3,Yes,No,1-10,20.6,No
Treated,Peel,L7C,Family Style,Franchise,9,Yes,Yes,10-20,17.12,No
Treated,York,L0N,Casual Dining,Franchise,15,Yes,Yes,1-10,15.59,No
Treated,York,L9N,Family Style,Franchise,18,Yes,Yes,20-30,18.97,No
Treated,Toronto,M5W,Casual Dining,No,11,Yes,No,20-30,15.68,No
Treated,York,L7B,Fast Casual,Franchise,4,Yes,Yes,1-10,16.47,No
Treated,Peel,L6W,Fine Dining,Franchise,1,Yes,No,1-10,18.47,No
Treated,Durham,L1H,Fine Dining,Franchise,13,No,Yes,10-20,14.43,No
Treated,Halton,L9T,Fast Food,No,6,Yes,No,>30,20.98,No
Treated,York,L9N,Casual Dining,Franchise,2,Yes,No,10-20,10.74,No
Treated,Toronto,M1T,Family Style,Franchise,0,Yes,No,10-20,16.57,Yes
Treated,Peel,L5G,Family Style,No,3,Yes,Yes,10-20,21.49,No
Treated,Durham,L0B,Fast Food,No,19,Yes,Yes,1-10,20.08,No
Treated,Toronto,M1D,Fast Food,No,18,Yes,Yes,20-30,15.1,No
Treated,Toronto,M1R,Casual Dining,No,13,Yes,Yes,10-20,18.04,No
Treated,Toronto,M7Y,Premium Casual,No,6,Yes,No,1-10,19.33,No
Treated,Durham,L0E,Family Style,No,7,Yes,Yes,10-20,15.3,No
Treated,York,L4G,Casual Dining,No,16,Yes,No,1-10,16.87,No
Treated,Durham,L1P,Casual Dining,Franchise,19,Yes,No,10-20,18.91,No
Treated,York,L3X,Family Style,No,3,Yes,No,1-10,18.23,No
Treated,Peel,L7A,Fast Food,No,14,Yes,No,10-20,21.01,Yes
Treated,Toronto,M7K,Casual Dining,No,12,Yes,No,10-20,22.23,No
Treated,York,L7B,Casual Dining,No,9,Yes,Yes,20-30,18.8,No
Treated,Toronto,M5W,Family Style,No,9,No,No,1-10,16.8,No
Treated,York,L7E,Casual Dining,No,21,Yes,No,1-10,18.14,No
Treated,Toronto,M6I,Family Style,No,5,Yes,No,>30,17.35,No
Treated,York,L7B,Casual Dining,No,11,Yes,No,1-10,13.93,Yes
Treated,York,L9N,Casual Dining,No,5,Yes,No,>30,14.36,No
Treated,Peel,L7K,Family Style,No,5,Yes,No,10-20,17.02,No
Treated,York,L0N,Fast Casual,Franchise,1,Yes,No,10-20,17.99,No
Treated,Toronto,M2B,Fast Casual,No,1,Yes,No,10-20,22.79,No
Treated,Peel,L5R,Premium Casual,Franchise,13,Yes,Yes,1-10,18.1,No
Treated,Peel,L7K,Premium Casual,No,18,No,No,1-10,15.67,No
Treated,Toronto,M4X,Fast Casual,No,14,Yes,No,10-20,18.85,No
Treated,Halton,L9E,Fast Food,No,8,Yes,Yes,1-10,19.29,No
Treated,Toronto,M3O,Casual Dining,No,9,No,Yes,20-30,14.83,No
Treated,Toronto,M6U,Fast Casual,Franchise,22,Yes,No,20-30,23.2,No
Treated,Peel,L6Z,Fast Casual,No,1,Yes,No,1-10,18.12,No
Treated,Toronto,M3B,Fast Food,No,2,Yes,Yes,10-20,20.34,No
Treated,Durham,L0C,Premium Casual,No,9,Yes,Yes,10-20,15.91,No
Treated,Halton,L7R,Fast Food,No,14,Yes,No,1-10,17.81,No
Treated,Durham,L9L,Family Style,Franchise,2,Yes,Yes,1-10,17.73,No
Treated,Peel,L6V,Casual Dining,No,0,Yes,Yes,10-20,14.55,Yes
Treated,Durham,L9L,Casual Dining,Franchise,24,Yes,Yes,20-30,16.09,Yes
Treated,Halton,L9T,Fast Casual,No,2,Yes,No,1-10,14.68,No
Treated,York,L0G,Fast Food,No,8,Yes,No,10-20,18.96,No
Treated,Toronto,M0Z,Fine Dining,Franchise,7,Yes,Yes,>30,15.45,No
Treated,Durham,L0B,Casual Dining,No,4,No,No,1-10,18.93,No
Treated,Peel,L4X,Fast Casual,Franchise,3,No,No,10-20,16.14,No
Treated,Toronto,M7M,Casual Dining,No,8,Yes,Yes,10-20,17.76,No
Treated,Toronto,M3E,Casual Dining,No,15,Yes,No,10-20,20.24,No
Treated,Halton,L0P,Casual Dining,No,10,Yes,No,20-30,19.74,No
Treated,Peel,L7C,Casual Dining,No,9,Yes,No,10-20,17.73,No
Treated,Peel,L7C,Family Style,Franchise,1,Yes,No,10-20,20.11,No
Treated,York,L7B,Family Style,Franchise,7,Yes,Yes,20-30,17.13,Yes
Treated,York,L3S,Fast Casual,No,2,Yes,Yes,10-20,21.7,No
Treated,Halton,L6K,Fast Casual,No,9,Yes,No,10-20,19.48,No
Treated,Peel,L6Y,Premium Casual,Franchise,11,Yes,Yes,20-30,17.91,Yes
Treated,Peel,L5B,Premium Casual,No,8,Yes,Yes,1-10,16.56,No
Treated,Toronto,M6F,Family Style,No,11,Yes,No,20-30,20.02,No
Treated,Peel,L4W,Casual Dining,No,14,No,No,10-20,18.4,Yes
Treated,Toronto,M3K,Fast Food,Franchise,11,Yes,No,20-30,19.77,No
Treated,Durham,L0B,Casual Dining,No,4,Yes,No,10-20,17.48,No
Treated,Peel,L5G,Fast Casual,No,6,Yes,No,10-20,19.76,No
Treated,York,L6C,Fine Dining,No,15,Yes,No,10-20,15.66,No
Treated,Halton,L7M,Fast Casual,Franchise,2,Yes,No,10-20,13.37,No
Treated,York,L0G,Premium Casual,Franchise,2,Yes,Yes,1-10,20.37,No
Treated,Toronto,M7P,Fast Food,Franchise,7,Yes,Yes,10-20,18.74,No
Treated,Durham,L1M,Fast Casual,No,7,Yes,Yes,>30,15.35,No
Treated,Durham,L0E,Fast Casual,No,17,Yes,No,10-20,20.21,No
Treated,Peel,L7C,Family Style,No,2,Yes,No,1-10,18.16,No
Treated,York,L7E,Casual Dining,No,1,Yes,No,20-30,18.15,No
Treated,Peel,L7K,Casual Dining,No,6,Yes,Yes,1-10,16.54,No
Treated,York,L6B,Fast Food,No,11,Yes,No,1-10,17.22,No
Treated,York,L7E,Fast Food,Franchise,12,Yes,No,20-30,14.92,No
Treated,Peel,L4T,Premium Casual,No,5,Yes,No,20-30,18.34,No
Treated,Durham,L9L,Family Style,No,7,Yes,Yes,1-10,22.79,No
Treated,Toronto,M7X,Fast Food,No,12,Yes,No,1-10,16.36,Yes
Treated,Halton,L7L,Premium Casual,Franchise,7,No,Yes,1-10,13.51,No
Treated,Halton,L6L,Family Style,No,4,Yes,Yes,10-20,20.05,No
Treated,York,L3X,Premium Casual,No,13,No,No,10-20,20.13,No
Treated,Peel,L4V,Fast Food,No,16,Yes,No,1-10,18.73,No
Treated,Peel,L4W,Fast Casual,No,23,Yes,No,10-20,17.59,No
Treated,Peel,L5E,Family Style,No,2,Yes,Yes,10-20,18.37,No
Treated,Toronto,M2Y,Family Style,No,0,Yes,Yes,1-10,20.61,Yes
Treated,Durham,L1B,Family Style,Franchise,5,Yes,Yes,10-20,19.18,No
Treated,York,L9N,Premium Casual,Franchise,23,Yes,Yes,1-10,20.02,No
Treated,Toronto,M7B,Family Style,No,5,Yes,No,1-10,19.94,No
Treated,Peel,L5H,Casual Dining,No,6,Yes,Yes,10-20,21.1,No
Treated,Toronto,M3A,Fast Casual,No,8,No,No,10-20,21.34,No
Treated,Toronto,M0G,Family Style,No,8,No,Yes,10-20,19.44,Yes
Treated,Toronto,M4K,Family Style,No,15,Yes,Yes,1-10,19.71,No
Treated,Toronto,M7A,Fast Casual,Franchise,18,Yes,No,10-20,19.03,No
Treated,Durham,L9P,Casual Dining,Franchise,11,Yes,No,10-20,15.43,No
Treated,Peel,L6Z,Casual Dining,No,7,Yes,Yes,10-20,18.92,No
Treated,Peel,L6T,Casual Dining,No,1,Yes,Yes,10-20,23.09,No
Treated,York,L6G,Fast Casual,No,6,Yes,Yes,10-20,23.01,No
Treated,Toronto,M8N,Casual Dining,Franchise,4,Yes,Yes,1-10,19.76,No
Treated,Halton,L9T,Fast Casual,Franchise,19,Yes,Yes,10-20,16.28,No
Treated,York,L6G,Casual Dining,No,8,Yes,Yes,1-10,22.62,No
Treated,Durham,L9L,Fast Casual,Franchise,7,Yes,No,10-20,20.42,No
Treated,Toronto,M8Y,Family Style,Franchise,10,Yes,No,10-20,21.43,No
Treated,Toronto,M1M,Fast Food,No,13,Yes,No,10-20,20.88,No
Treated,Peel,L7K,Family Style,No,16,Yes,No,10-20,15.69,Yes
Treated,Peel,L4Y,Fast Casual,No,1,Yes,Yes,>30,17.71,No
Treated,Peel,L7A,Casual Dining,No,10,No,Yes,1-10,19.61,No
Treated,Peel,L4X,Fast Food,Franchise,9,No,No,10-20,18.1,No
Treated,Toronto,M7I,Casual Dining,No,19,No,Yes,10-20,22.07,No
Treated,York,L6A,Casual Dining,No,12,Yes,No,>30,15.57,No
Treated,Durham,L1J,Fast Food,Franchise,21,Yes,Yes,10-20,17.11,No
Treated,York,L3S,Fast Casual,No,2,Yes,No,20-30,14.02,No
Treated,Toronto,M5F,Fast Food,Franchise,12,Yes,Yes,20-30,18.28,No
Treated,Toronto,M1W,Fine Dining,No,14,No,No,>30,20.26,No
Treated,Peel,L4T,Family Style,No,7,Yes,No,1-10,14.98,No
Treated,Peel,L4W,Family Style,No,7,Yes,No,20-30,16.76,No
Treated,York,L4A,Family Style,No,6,Yes,Yes,1-10,20.93,No
Treated,Peel,L4T,Premium Casual,No,12,Yes,No,10-20,25.33,No
Treated,York,L4S,Premium Casual,No,11,Yes,No,20-30,20.84,No
Treated,Toronto,M9I,Fast Casual,No,12,Yes,Yes,1-10,17.74,No
Treated,York,L9N,Fine Dining,No,7,Yes,No,1-10,19.7,No
Treated,Halton,L6L,Fast Casual,Franchise,0,Yes,Yes,1-10,14.71,No
Treated,Toronto,M0I,Fast Casual,Franchise,14,Yes,Yes,1-10,18.68,No
Treated,Halton,L9E,Fast Casual,No,4,Yes,No,10-20,19.24,No
Treated,Halton,L9E,Family Style,Franchise,20,No,No,10-20,16.37,No
Treated,Halton,L6M,Casual Dining,No,19,Yes,Yes,1-10,15.34,No
Treated,Toronto,M8Y,Family Style,Franchise,10,Yes,No,1-10,17.25,No
Treated,York,L0N,Family Style,No,13,Yes,No,20-30,18.55,No
Treated,York,L7E,Premium Casual,No,15,Yes,No,1-10,15.98,No
Treated,Halton,L7P,Fast Casual,Franchise,14,Yes,No,10-20,23.26,No
Treated,Halton,L0P,Fast Casual,No,13,Yes,Yes,1-10,21.53,No
Treated,Halton,L7N,Premium Casual,No,7,Yes,Yes,20-30,16.09,No
Treated,Toronto,M9T,Family Style,No,18,Yes,No,1-10,15.82,No
Treated,Peel,L5R,Fast Casual,No,8,Yes,No,1-10,22.56,No
Treated,Toronto,M3D,Fast Casual,No,8,Yes,Yes,20-30,19.19,No
Treated,Toronto,M9L,Casual Dining,No,4,Yes,No,1-10,19.65,No
Treated,Durham,L9P,Fast Food,No,16,Yes,No,>30,20.61,No
Treated,Toronto,M0F,Fast Casual,No,2,Yes,Yes,10-20,20.61,No
Treated,Toronto,M4I,Premium Casual,No,10,Yes,No,1-10,17.49,No
Treated,York,L7B,Fast Food,No,15,No,Yes,>30,21.73,Yes
Treated,Toronto,M9D,Fast Casual,No,5,Yes,No,10-20,17.11,Yes
Treated,Peel,L7A,Fast Food,Franchise,6,Yes,Yes,10-20,18.29,No
Treated,York,L3P,Premium Casual,No,2,Yes,No,10-20,19.87,No
Treated,Halton,L0P,Casual Dining,No,18,Yes,No,10-20,14.3,Yes
Treated,Peel,L5K,Fast Casual,No,19,Yes,No,1-10,14.31,No
Treated,York,L9N,Casual Dining,No,18,Yes,No,10-20,19.25,No
Treated,Toronto,M9R,Fast Food,Franchise,1,Yes,Yes,10-20,18.73,No
Treated,Peel,L4V,Fine Dining,No,13,Yes,Yes,10-20,16.53,No
Treated,York,L4P,Casual Dining,No,17,Yes,No,10-20,20.44,No
Treated,York,L4B,Fine Dining,No,13,Yes,No,20-30,14.89,Yes
Treated,Peel,L6R,Premium Casual,Franchise,18,No,Yes,1-10,20.79,No
Treated,York,L4E,Fine Dining,Franchise,19,Yes,No,1-10,15.84,No
Treated,Peel,L7K,Fast Casual,Franchise,3,Yes,No,10-20,22.73,No
Treated,Toronto,M3N,Casual Dining,No,8,Yes,No,1-10,21.93,No
Treated,Peel,L6R,Casual Dining,No,4,Yes,Yes,1-10,20.26,No
Treated,Durham,L1L,Family Style,Franchise,5,Yes,No,20-30,18.39,No
Treated,Peel,L7A,Family Style,Franchise,18,Yes,No,1-10,20.18,No
Treated,Peel,L7K,Family Style,No,29,Yes,No,20-30,16.21,No
Treated,Toronto,M3Z,Casual Dining,No,14,Yes,Yes,1-10,16.4,No
Treated,York,L9N,Casual Dining,Franchise,2,Yes,No,10-20,17.5,No
Treated,Halton,L6M,Premium Casual,No,5,Yes,No,1-10,22.12,No
Treated,Peel,L6X,Casual Dining,No,16,Yes,Yes,10-20,20.76,No
Treated,Peel,L4Y,Casual Dining,No,6,Yes,Yes,1-10,20.4,No
Treated,Durham,L0B,Casual Dining,No,5,Yes,No,1-10,16.87,No
Treated,Durham,L0B,Fine Dining,Franchise,3,No,No,10-20,20.87,No
Treated,Toronto,M8P,Fast Food,No,11,Yes,Yes,10-20,21.32,No
Treated,Toronto,M5U,Casual Dining,Franchise,7,Yes,Yes,1-10,17.64,No
Treated,Toronto,M0Q,Casual Dining,No,10,Yes,No,1-10,19.15,No
Treated,Toronto,M9Z,Fast Casual,Franchise,13,Yes,No,10-20,20.56,No
Treated,Durham,L1K,Premium Casual,Franchise,15,Yes,Yes,20-30,18.36,No
Treated,York,L3R,Family Style,No,6,Yes,No,10-20,14.19,No
Treated,York,L7B,Casual Dining,Franchise,9,Yes,Yes,10-20,14.79,No
Treated,Halton,L7T,Fast Casual,No,17,Yes,No,1-10,25.67,No
Treated,Peel,L5N,Family Style,No,12,Yes,No,10-20,19.24,No
Treated,York,L7E,Family Style,Franchise,16,Yes,No,10-20,16.72,No
Treated,Peel,L4V,Casual Dining,No,6,Yes,Yes,10-20,23.91,No
Treated,Peel,L7C,Fast Food,No,8,Yes,No,10-20,22.96,No
Treated,Peel,L6Z,Family Style,Franchise,26,Yes,Yes,1-10,19.27,No
Treated,Toronto,M2V,Family Style,No,9,Yes,Yes,1-10,16.67,No
Treated,Toronto,M8E,Casual Dining,Franchise,5,Yes,No,10-20,19.9,No
Treated,Peel,L4W,Fast Casual,No,9,No,Yes,20-30,21.74,No
Treated,Peel,L6T,Fast Casual,Franchise,4,Yes,No,10-20,20.32,No
Treated,Halton,L7L,Fine Dining,No,0,No,Yes,10-20,14.77,Yes
Treated,Halton,L0P,Family Style,No,9,Yes,No,20-30,16.99,Yes
Treated,Peel,L6T,Fast Casual,Franchise,6,Yes,Yes,10-20,17.37,No
Treated,York,L7B,Fast Casual,No,4,Yes,Yes,1-10,18.89,No
Treated,Peel,L4Z,Fast Food,No,10,No,No,>30,16.21,No
Treated,Toronto,M0J,Family Style,Franchise,4,Yes,No,10-20,16.55,No
Treated,Toronto,M0Q,Family Style,Franchise,10,Yes,No,10-20,22.12,No
Treated,Halton,L9E,Casual Dining,No,9,No,Yes,1-10,16.3,No
Treated,Halton,L6J,Casual Dining,No,6,Yes,Yes,20-30,15.98,No
Treated,Toronto,M2B,Casual Dining,No,3,Yes,Yes,1-10,20.87,No
Treated,Durham,L0C,Fast Food,No,6,Yes,Yes,20-30,15.21,No
Treated,Toronto,M6N,Fast Casual,Franchise,12,Yes,Yes,1-10,17.52,No
Treated,York,L3R,Premium Casual,No,21,No,Yes,10-20,13.79,No
Treated,Toronto,M1M,Fine Dining,No,7,No,No,1-10,22.84,Yes
Treated,York,L3X,Family Style,No,12,No,No,10-20,16.36,No
Treated,Toronto,M3U,Fast Casual,No,5,Yes,No,1-10,20.25,No
Treated,Toronto,M6H,Fast Food,No,3,Yes,Yes,10-20,15.09,No
Treated,Durham,L9P,Casual Dining,No,9,Yes,Yes,10-20,21.3,No
Treated,Durham,L0C,Family Style,No,24,Yes,Yes,10-20,15.52,No
Treated,Peel,L6V,Family Style,No,3,Yes,No,1-10,14.11,Yes
Treated,Toronto,M6M,Family Style,Franchise,5,Yes,No,10-20,21.71,No
Treated,Halton,L6H,Casual Dining,No,11,Yes,No,20-30,19.54,No
Treated,Peel,L4Y,Family Style,No,16,Yes,No,1-10,18.74,No
Treated,Toronto,M0H,Fine Dining,Franchise,8,Yes,Yes,1-10,20.58,No
Treated,Peel,L4Z,Fast Casual,No,8,Yes,Yes,1-10,16.99,No
Treated,York,L9N,Casual Dining,No,3,Yes,Yes,10-20,17.79,No
Treated,Peel,L4Y,Casual Dining,Franchise,4,Yes,No,>30,12.75,Yes
Treated,York,L4A,Casual Dining,No,4,Yes,Yes,10-20,18.26,No
Treated,Toronto,M5Y,Family Style,No,20,Yes,No,1-10,18.36,No
Treated,Durham,L0B,Fine Dining,No,8,Yes,Yes,10-20,20.59,No
Treated,Peel,L4Y,Family Style,Franchise,14,No,Yes,10-20,17.89,No
Treated,Toronto,M9P,Casual Dining,No,3,Yes,No,20-30,19.45,No
Treated,Toronto,M1B,Premium Casual,Franchise,3,Yes,No,10-20,17.6,No
Treated,York,L9N,Fast Food,No,10,Yes,Yes,10-20,19.92,No
Treated,Peel,L6V,Fast Casual,No,2,Yes,No,1-10,17.92,No
Treated,Peel,L6Y,Casual Dining,No,15,No,No,1-10,17.76,No
Treated,Toronto,M0K,Fast Casual,Franchise,19,Yes,No,>30,18.78,No
Treated,York,L6C,Premium Casual,No,7,Yes,Yes,10-20,14.58,No
Treated,Halton,L0P,Family Style,No,0,No,No,10-20,20.22,No
Treated,Toronto,M0H,Family Style,No,7,Yes,No,10-20,19.78,No
Treated,Durham,L1L,Fine Dining,No,10,Yes,Yes,>30,17.27,No
Treated,Peel,L7A,Premium Casual,No,3,Yes,No,1-10,18.52,No
Treated,Toronto,M6R,Casual Dining,Franchise,21,Yes,No,10-20,16.5,No
Treated,Durham,L1K,Premium Casual,No,8,Yes,Yes,>30,17.38,No
Treated,Peel,L6Y,Fast Casual,Franchise,0,Yes,Yes,1-10,15.82,No
Treated,Peel,L6Y,Casual Dining,No,17,Yes,No,1-10,14.32,Yes
Treated,York,L9N,Fast Food,No,8,Yes,Yes,1-10,17.79,No
Treated,Toronto,M0X,Casual Dining,No,7,Yes,No,1-10,16.14,No
Treated,Peel,L4Z,Casual Dining,Franchise,14,Yes,No,10-20,15.72,No
Treated,York,L6A,Family Style,No,7,Yes,No,1-10,17.44,No
Treated,York,L4A,Premium Casual,No,13,Yes,Yes,10-20,20.52,Yes
Treated,Peel,L7C,Premium Casual,No,2,Yes,Yes,10-20,16.04,No
Treated,York,L6E,Fast Food,Franchise,5,Yes,No,20-30,16.95,No
Treated,Peel,L6Y,Casual Dining,No,12,Yes,No,10-20,22.83,Yes
Treated,Peel,L5J,Casual Dining,No,20,Yes,Yes,1-10,19.89,No
Treated,Peel,L7C,Casual Dining,No,15,No,Yes,1-10,21.43,No
Treated,Toronto,M5J,Fine Dining,No,12,Yes,No,10-20,15.81,No
Treated,Toronto,M8G,Premium Casual,Franchise,7,No,Yes,10-20,18.33,No
Treated,Toronto,M4J,Premium Casual,No,1,Yes,No,20-30,15.18,No
Treated,Halton,L0P,Fast Casual,Franchise,9,No,No,1-10,17.39,Yes
Treated,York,L4E,Premium Casual,No,5,Yes,No,1-10,11.93,No
Treated,Toronto,M9Y,Premium Casual,No,7,Yes,No,10-20,16.64,No
Treated,Durham,L0E,Casual Dining,No,11,Yes,Yes,10-20,18.13,No
Treated,Toronto,M1L,Premium Casual,No,12,Yes,No,10-20,18.92,Yes
Treated,Toronto,M2L,Casual Dining,Franchise,2,Yes,No,20-30,23.5,No
Treated,Toronto,M4S,Premium Casual,No,10,Yes,Yes,1-10,18.55,No
Treated,Toronto,M7Q,Casual Dining,Franchise,9,Yes,No,10-20,19.34,No
Treated,Halton,L9T,Fine Dining,Franchise,4,Yes,No,10-20,15.84,No
Treated,Halton,L9T,Fine Dining,Franchise,4,Yes,Yes,1-10,20.99,No
Treated,Durham,L9P,Fast Casual,No,13,Yes,No,1-10,19.22,No
Treated,Peel,L7C,Casual Dining,No,6,Yes,No,10-20,20.11,No
Treated,Halton,L7L,Fast Casual,No,4,Yes,No,1-10,19.78,No
