type,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q9,Q10
Treated,L0G,York,Fast Food,No,11,Yes,Yes,16.54,No
Treated,L5C,Peel,Casual Dining,Franchise,6,Yes,No,19.53,Yes
Treated,M5G,Toronto,Fast Casual,Franchise,15,Yes,No,23.62,No
Treated,M4G,Toronto,Fast Casual,No,12,Yes,Yes,18.62,No
Treated,L7S,Halton,Casual Dining,Franchise,20,Yes,No,18.39,No
Treated,L6Z,Peel,Casual Dining,No,8,No,No,16.97,No
Treated,L9E,Halton,Fast Casual,Franchise,11,Yes,No,20.7,No
Treated,M5U,Toronto,Casual Dining,Franchise,18,No,Yes,15.27,No
Treated,L6Z,Peel,Casual Dining,Franchise,21,Yes,No,19.56,No
Treated,L3R,York,Casual Dining,No,2,Yes,No,21,No
Treated,L5N,Peel,Premium Casual,No,7,Yes,No,18.29,No
Treated,L1K,Durham,Casual Dining,No,7,Yes,Yes,16.62,Yes
Treated,L6Y,Peel,Casual Dining,No,12,Yes,Yes,19.63,Yes
Treated,M9T,Toronto,Fast Casual,Franchise,18,Yes,No,17.28,No
Treated,L6J,Halton,Fast Food,Franchise,8,Yes,No,18.19,No
Treated,L4Z,Peel,Fast Food,Franchise,12,Yes,No,15.54,No
Treated,M5R,Toronto,Casual Dining,No,11,Yes,Yes,15.93,No
Treated,M5G,Toronto,Fast Casual,No,15,Yes,No,18.65,No
Treated,L0J,York,Fast Casual,No,2,Yes,No,17.92,Yes
Treated,L6J,Halton,Family Style,No,4,Yes,No,18.63,Yes
Treated,L4T,Peel,Fast Casual,No,17,Yes,Yes,16.3,No
Treated,M4X,Toronto,Casual Dining,No,7,Yes,No,20.73,No
Treated,L4B,York,Premium Casual,No,13,Yes,Yes,19.54,Yes
Treated,M8H,Toronto,Casual Dining,No,3,Yes,No,18.5,No
Treated,L0E,Durham,Family Style,No,5,Yes,Yes,21.76,No
Treated,L7B,York,Casual Dining,Franchise,8,Yes,No,20.94,No
Treated,L0H,York,Family Style,No,11,Yes,Yes,17.59,No
Treated,L0N,York,Family Style,No,9,Yes,No,21.21,No
Treated,M0N,Toronto,Fast Casual,No,10,Yes,No,20.48,No
Treated,L1W,Durham,Casual Dining,Franchise,3,Yes,No,17.61,No
Treated,M4C,Toronto,Casual Dining,Franchise,8,No,No,17,No
Treated,L6L,Halton,Fast Casual,Franchise,8,Yes,No,12.48,No
Treated,M2X,Toronto,Family Style,Franchise,3,Yes,No,21.62,No
Treated,L9L,Durham,Casual Dining,No,7,Yes,No,18.32,No
Treated,M5M,Toronto,Fast Food,No,1,Yes,No,18.53,No
Treated,M2J,Toronto,Fast Casual,No,13,Yes,No,19.58,No
Treated,M5R,Toronto,Casual Dining,No,20,Yes,Yes,17.85,No
Treated,L6B,York,Fast Casual,No,9,No,Yes,19.73,No
Treated,M9N,Toronto,Fine Dining,No,14,Yes,Yes,23.65,No
Treated,L4B,York,Fast Casual,No,10,Yes,Yes,22.89,No
Treated,M9C,Toronto,Casual Dining,Franchise,12,Yes,Yes,17.09,No
Treated,L7E,York,Premium Casual,No,19,Yes,No,18.55,No
Treated,L6G,York,Casual Dining,No,10,No,No,17.29,Yes
Treated,L6C,York,Family Style,Franchise,15,Yes,Yes,20.69,No
Treated,L7C,Peel,Casual Dining,No,2,Yes,No,18.74,No
Treated,L4G,York,Casual Dining,Franchise,29,Yes,Yes,14.92,No
Treated,L1J,Durham,Fast Casual,No,5,Yes,Yes,20.5,No
Treated,M9X,Toronto,Fine Dining,No,5,Yes,Yes,22.12,No
Treated,M9R,Toronto,Casual Dining,Franchise,7,No,Yes,16.98,No
Treated,L0P,Halton,Fine Dining,No,2,No,Yes,19.05,No
Treated,L0P,Halton,Fine Dining,No,24,Yes,Yes,16.31,No
Treated,L4P,York,Fast Casual,No,3,Yes,No,20.97,No
Treated,L5H,Peel,Family Style,Franchise,9,Yes,Yes,15.68,No
Treated,L4G,York,Casual Dining,Franchise,15,Yes,Yes,15.33,Yes
Treated,L0N,York,Family Style,Franchise,18,Yes,Yes,21.16,No
Treated,M5Y,Toronto,Casual Dining,No,11,Yes,No,20.76,No
Treated,L4S,York,Fast Casual,Franchise,4,Yes,Yes,20.73,Yes
Treated,L7C,Peel,Fine Dining,Franchise,1,Yes,No,14.8,No
Treated,L0C,Durham,Fine Dining,Franchise,13,No,Yes,16.43,No
Treated,L0P,Halton,Fast Food,No,6,Yes,No,17.93,No
Treated,L6E,York,Casual Dining,Franchise,2,Yes,No,17.42,No
Treated,M3I,Toronto,Family Style,Franchise,0,Yes,No,21.92,No
Treated,L7A,Peel,Family Style,No,3,Yes,Yes,20.46,No
Treated,L9P,Durham,Fast Food,No,19,Yes,Yes,20.79,No
Treated,M4W,Toronto,Fast Food,No,18,Yes,Yes,18.92,No
Treated,M3Y,Toronto,Casual Dining,No,13,Yes,Yes,15.84,No
Treated,M1N,Toronto,Premium Casual,No,6,Yes,No,18.78,No
Treated,L0C,Durham,Family Style,No,7,Yes,Yes,17.94,No
Treated,L4C,York,Casual Dining,No,16,Yes,No,14.36,No
Treated,L1X,Durham,Casual Dining,Franchise,19,Yes,No,18.94,Yes
Treated,L6C,York,Family Style,No,3,Yes,No,14.24,No
Treated,L5R,Peel,Fast Food,No,14,Yes,No,19.68,No
Treated,M1L,Toronto,Casual Dining,No,12,Yes,No,17.11,No
Treated,L7E,York,Casual Dining,No,9,Yes,Yes,14.07,No
Treated,M1G,Toronto,Family Style,No,9,No,No,19.07,No
Treated,L6G,York,Casual Dining,No,21,Yes,No,20.1,No
Treated,M4X,Toronto,Family Style,No,5,Yes,No,15.98,No
Treated,L0J,York,Casual Dining,No,11,Yes,No,18,No
Treated,L0J,York,Casual Dining,No,5,Yes,No,20.42,No
Treated,L5M,Peel,Family Style,No,5,Yes,No,16.11,No
Treated,L4E,York,Fast Casual,Franchise,1,Yes,No,15.96,No
Treated,M7K,Toronto,Fast Casual,No,1,Yes,No,20.99,No
Treated,L4Y,Peel,Premium Casual,Franchise,13,Yes,Yes,18.53,No
Treated,L5T,Peel,Premium Casual,No,18,No,No,20.37,No
Treated,M5J,Toronto,Fast Casual,No,14,Yes,No,21.74,No
Treated,L9E,Halton,Fast Food,No,8,Yes,Yes,20.25,No
Treated,M5K,Toronto,Casual Dining,No,9,No,Yes,18.61,No
Treated,M5E,Toronto,Fast Casual,Franchise,22,Yes,No,15.77,No
Treated,L4W,Peel,Fast Casual,No,1,Yes,No,19.42,No
Treated,M7G,Toronto,Fast Food,No,2,Yes,Yes,18.87,No
Treated,L9P,Durham,Premium Casual,No,9,Yes,Yes,19.97,No
Treated,L6K,Halton,Fast Food,No,14,Yes,No,19.74,No
Treated,L1L,Durham,Family Style,Franchise,2,Yes,Yes,21.26,No
Treated,L7A,Peel,Casual Dining,No,0,Yes,Yes,23.09,No
Treated,L0C,Durham,Casual Dining,Franchise,24,Yes,Yes,20.58,No
Treated,L6L,Halton,Fast Casual,No,2,Yes,No,16.79,Yes
Treated,L6C,York,Fast Food,No,8,Yes,No,17.49,No
Treated,M1T,Toronto,Fine Dining,Franchise,7,Yes,Yes,18.4,No
Treated,L9P,Durham,Casual Dining,No,4,No,No,18.14,No
Treated,L6S,Peel,Fast Casual,Franchise,3,No,No,15.26,No
Treated,M4Y,Toronto,Casual Dining,No,8,Yes,Yes,18.23,No
Treated,M3Q,Toronto,Casual Dining,No,15,Yes,No,17.46,No
Treated,L7R,Halton,Casual Dining,No,10,Yes,No,20.45,No
Treated,L4T,Peel,Casual Dining,No,9,Yes,No,19.29,Yes
Treated,L7A,Peel,Family Style,Franchise,1,Yes,No,19.44,No
Treated,L9N,York,Family Style,Franchise,7,Yes,Yes,19.56,No
Treated,L0H,York,Fast Casual,No,2,Yes,Yes,20.57,No
Treated,L9T,Halton,Fast Casual,No,9,Yes,No,17.68,No
Treated,L5M,Peel,Premium Casual,Franchise,11,Yes,Yes,19.17,No
Treated,L7K,Peel,Premium Casual,No,8,Yes,Yes,18.13,No
Treated,M0L,Toronto,Family Style,No,11,Yes,No,11.68,No
Treated,L5J,Peel,Casual Dining,No,14,No,No,18.74,No
Treated,M1Y,Toronto,Fast Food,Franchise,11,Yes,No,13.94,No
Treated,L9P,Durham,Casual Dining,No,4,Yes,No,14.93,No
Treated,L4Z,Peel,Fast Casual,No,6,Yes,No,20.5,No
Treated,L3P,York,Fine Dining,No,15,Yes,No,21.6,No
Treated,L6K,Halton,Fast Casual,Franchise,2,Yes,No,11.5,Yes
Treated,L6G,York,Premium Casual,Franchise,2,Yes,Yes,15.67,No
Treated,M0A,Toronto,Fast Food,Franchise,7,Yes,Yes,22.49,No
Treated,L1N,Durham,Fast Casual,No,7,Yes,Yes,17.14,No
Treated,L9P,Durham,Fast Casual,No,17,Yes,No,21.14,No
Treated,L7A,Peel,Family Style,No,2,Yes,No,20.66,No
Treated,L3R,York,Casual Dining,No,1,Yes,No,17.6,No
Treated,L5G,Peel,Casual Dining,No,6,Yes,Yes,17.45,No
Treated,L4S,York,Fast Food,No,11,Yes,No,16.25,No
Treated,L9N,York,Fast Food,Franchise,12,Yes,No,17.32,No
Treated,L5E,Peel,Premium Casual,No,5,Yes,No,15.84,No
Treated,L1Z,Durham,Family Style,No,7,Yes,Yes,20.11,No
Treated,M3I,Toronto,Fast Food,No,12,Yes,No,19.89,No
Treated,L9E,Halton,Premium Casual,Franchise,7,No,Yes,22.56,No
Treated,L7M,Halton,Family Style,No,4,Yes,Yes,18.33,No
Treated,L0N,York,Premium Casual,No,13,No,No,17.05,No
Treated,L6S,Peel,Fast Food,No,16,Yes,No,17.55,No
Treated,L4Z,Peel,Fast Casual,No,23,Yes,No,19.12,No
Treated,L4V,Peel,Family Style,No,2,Yes,Yes,23.25,No
Treated,M6W,Toronto,Family Style,No,0,Yes,Yes,14.78,No
Treated,L1T,Durham,Family Style,Franchise,5,Yes,Yes,25.38,Yes
Treated,L3P,York,Premium Casual,Franchise,23,Yes,Yes,16.75,No
Treated,M9B,Toronto,Family Style,No,5,Yes,No,18.93,No
Treated,L4Z,Peel,Casual Dining,No,6,Yes,Yes,19.72,No
Treated,M1Z,Toronto,Fast Casual,No,8,No,No,14.92,No
Treated,M8W,Toronto,Family Style,No,8,No,Yes,16.2,Yes
Treated,M7C,Toronto,Family Style,No,15,Yes,Yes,21.08,No
Treated,M7J,Toronto,Fast Casual,Franchise,18,Yes,No,19.36,No
Treated,L1P,Durham,Casual Dining,Franchise,11,Yes,No,17.2,No
Treated,L5P,Peel,Casual Dining,No,7,Yes,Yes,20.85,Yes
Treated,L7A,Peel,Casual Dining,No,1,Yes,Yes,20.33,Yes
Treated,L3P,York,Fast Casual,No,6,Yes,Yes,12.59,No
Treated,M6O,Toronto,Casual Dining,Franchise,4,Yes,Yes,21.51,No
Treated,L6M,Halton,Fast Casual,Franchise,19,Yes,Yes,15.85,Yes
Treated,L3X,York,Casual Dining,No,8,Yes,Yes,20.44,No
Treated,L0B,Durham,Fast Casual,Franchise,7,Yes,No,18.06,No
Treated,M7S,Toronto,Family Style,Franchise,10,Yes,No,15.76,Yes
Treated,M0Z,Toronto,Fast Food,No,13,Yes,No,20.15,No
Treated,L4T,Peel,Family Style,No,16,Yes,No,20.8,No
Treated,L6Y,Peel,Fast Casual,No,1,Yes,Yes,17.65,No
Treated,L5B,Peel,Casual Dining,No,10,No,Yes,18.39,No
Treated,L6V,Peel,Fast Food,Franchise,9,No,No,22.67,No
Treated,M7C,Toronto,Casual Dining,No,19,No,Yes,20.28,No
Treated,L9N,York,Casual Dining,No,12,Yes,No,20.86,Yes
Treated,L9L,Durham,Fast Food,Franchise,21,Yes,Yes,21.82,No
Treated,L6A,York,Fast Casual,No,2,Yes,No,18.63,No
Treated,M6O,Toronto,Fast Food,Franchise,12,Yes,Yes,14.82,No
Treated,M2Q,Toronto,Fine Dining,No,14,No,No,16.13,No
Treated,L4T,Peel,Family Style,No,7,Yes,No,20.89,No
Treated,L7K,Peel,Family Style,No,7,Yes,No,16.66,No
Treated,L6C,York,Family Style,No,6,Yes,Yes,19.31,Yes
Treated,L4T,Peel,Premium Casual,No,12,Yes,No,16.3,No
Treated,L9N,York,Premium Casual,No,11,Yes,No,16.91,No
Treated,M9F,Toronto,Fast Casual,No,12,Yes,Yes,21.57,No
Treated,L7B,York,Fine Dining,No,7,Yes,No,20.06,Yes
Treated,L0P,Halton,Fast Casual,Franchise,0,Yes,Yes,21.3,Yes
Treated,M7O,Toronto,Fast Casual,Franchise,14,Yes,Yes,23.63,No
Treated,L9T,Halton,Fast Casual,No,4,Yes,No,14.31,No
Treated,L0P,Halton,Family Style,Franchise,20,No,No,15.94,No
Treated,L0P,Halton,Casual Dining,No,19,Yes,Yes,19.42,No
Treated,M5E,Toronto,Family Style,Franchise,10,Yes,No,20.14,No
Treated,L6C,York,Family Style,No,13,Yes,No,21.36,No
Treated,L9N,York,Premium Casual,No,15,Yes,No,14.59,No
Treated,L9T,Halton,Fast Casual,Franchise,14,Yes,No,17.83,Yes
Treated,L6M,Halton,Fast Casual,No,13,Yes,Yes,15.86,No
Treated,L0P,Halton,Premium Casual,No,7,Yes,Yes,19.61,No
Treated,M9F,Toronto,Family Style,No,18,Yes,No,19.68,No
Treated,L4W,Peel,Fast Casual,No,8,Yes,No,14.5,No
Treated,M7Z,Toronto,Fast Casual,No,8,Yes,Yes,18.59,No
Treated,M3G,Toronto,Casual Dining,No,4,Yes,No,18.94,No
Treated,L0C,Durham,Fast Food,No,16,Yes,No,16.83,No
Treated,M5A,Toronto,Fast Casual,No,2,Yes,Yes,15.33,Yes
Treated,M0V,Toronto,Premium Casual,No,10,Yes,No,19.28,No
Treated,L3R,York,Fast Food,No,15,No,Yes,23.42,No
Treated,M3G,Toronto,Fast Casual,No,5,Yes,No,16.31,No
Treated,L4T,Peel,Fast Food,Franchise,6,Yes,Yes,16.7,Yes
Treated,L9N,York,Premium Casual,No,2,Yes,No,19.69,No
Treated,L7R,Halton,Casual Dining,No,18,Yes,No,18.5,No
Treated,L5A,Peel,Fast Casual,No,19,Yes,No,18.07,No
Treated,L0H,York,Casual Dining,No,18,Yes,No,19.17,No
Treated,M1W,Toronto,Fast Food,Franchise,1,Yes,Yes,14.53,No
Treated,L5B,Peel,Fine Dining,No,13,Yes,Yes,17.55,No
Treated,L4A,York,Casual Dining,No,17,Yes,No,20.68,No
Treated,L3Z,York,Fine Dining,No,13,Yes,No,19.56,No
Treated,L7K,Peel,Premium Casual,Franchise,18,No,Yes,18.28,No
Treated,L0E,York,Fine Dining,Franchise,19,Yes,No,17.36,No
Treated,L6X,Peel,Fast Casual,Franchise,3,Yes,No,16.52,No
Treated,M0A,Toronto,Casual Dining,No,8,Yes,No,16.98,No
Treated,L6P,Peel,Casual Dining,No,4,Yes,Yes,15.05,No
Treated,L0E,Durham,Family Style,Franchise,5,Yes,No,20.4,No
Treated,L6R,Peel,Family Style,Franchise,18,Yes,No,22.66,No
Treated,L7A,Peel,Family Style,No,29,Yes,No,21.67,No
Treated,M6U,Toronto,Casual Dining,No,14,Yes,Yes,14.31,No
Treated,L9N,York,Casual Dining,Franchise,2,Yes,No,19.82,No
Treated,L7M,Halton,Premium Casual,No,5,Yes,No,19.96,No
Treated,L7K,Peel,Casual Dining,No,16,Yes,Yes,18.79,No
Treated,L5K,Peel,Casual Dining,No,6,Yes,Yes,18.71,No
Treated,L1K,Durham,Casual Dining,No,5,Yes,No,18.74,No
Treated,L0C,Durham,Fine Dining,Franchise,3,No,No,17.54,No
Treated,M9H,Toronto,Fast Food,No,11,Yes,Yes,15.67,No
Treated,M7N,Toronto,Casual Dining,Franchise,7,Yes,Yes,22.78,No
Treated,M8U,Toronto,Casual Dining,No,10,Yes,No,14.51,Yes
Treated,M4D,Toronto,Fast Casual,Franchise,13,Yes,No,17.94,No
Treated,L0C,Durham,Premium Casual,Franchise,15,Yes,Yes,14.02,No
Treated,L0E,York,Family Style,No,6,Yes,No,20.49,Yes
Treated,L3P,York,Casual Dining,Franchise,9,Yes,Yes,17.74,No
Treated,L9E,Halton,Fast Casual,No,17,Yes,No,18.16,No
Treated,L7C,Peel,Family Style,No,12,Yes,No,20.07,No
Treated,L0N,York,Family Style,Franchise,16,Yes,No,15.31,No
Treated,L6V,Peel,Casual Dining,No,6,Yes,Yes,21.96,No
Treated,L5H,Peel,Fast Food,No,8,Yes,No,22.24,No
Treated,L5E,Peel,Family Style,Franchise,26,Yes,Yes,18.98,No
Treated,M1K,Toronto,Family Style,No,9,Yes,Yes,17.36,Yes
Treated,M3D,Toronto,Casual Dining,Franchise,5,Yes,No,19.68,No
Treated,L7A,Peel,Fast Casual,No,9,No,Yes,18.63,No
Treated,L5H,Peel,Fast Casual,Franchise,4,Yes,No,22.14,No
Treated,L9E,Halton,Fine Dining,No,0,No,Yes,17.99,No
Treated,L0P,Halton,Family Style,No,9,Yes,No,16.05,No
Treated,L6V,Peel,Fast Casual,Franchise,6,Yes,Yes,17.11,No
Treated,L4B,York,Fast Casual,No,4,Yes,Yes,20.56,No
Treated,L5K,Peel,Fast Food,No,10,No,No,17.48,No
Treated,M6I,Toronto,Family Style,Franchise,4,Yes,No,19.81,No
Treated,M5V,Toronto,Family Style,Franchise,10,Yes,No,18.23,Yes
Treated,L9E,Halton,Casual Dining,No,9,No,Yes,16.01,No
Treated,L9E,Halton,Casual Dining,No,6,Yes,Yes,16.47,No
Treated,M4K,Toronto,Casual Dining,No,3,Yes,Yes,15.09,No
Treated,L9P,Durham,Fast Food,No,6,Yes,Yes,16.41,No
Treated,M3Q,Toronto,Fast Casual,Franchise,12,Yes,Yes,19.27,No
Treated,L9N,York,Premium Casual,No,21,No,Yes,24.58,No
Treated,M3N,Toronto,Fine Dining,No,7,No,No,25.25,No
Treated,L9N,York,Family Style,No,12,No,No,20.94,No
Treated,M1M,Toronto,Fast Casual,No,5,Yes,No,21.77,No
Treated,M7X,Toronto,Fast Food,No,3,Yes,Yes,23.49,No
Treated,L9L,Durham,Casual Dining,No,9,Yes,Yes,16.38,No
Treated,L1W,Durham,Family Style,No,24,Yes,Yes,18.25,No
Treated,L6R,Peel,Family Style,No,3,Yes,No,16.43,No
Treated,M0W,Toronto,Family Style,Franchise,5,Yes,No,16.28,No
Treated,L9T,Halton,Casual Dining,No,11,Yes,No,14.66,No
Treated,L6S,Peel,Family Style,No,16,Yes,No,15.74,No
Treated,M6Z,Toronto,Fine Dining,Franchise,8,Yes,Yes,16.03,No
Treated,L4X,Peel,Fast Casual,No,8,Yes,Yes,18.54,No
Treated,L4B,York,Casual Dining,No,3,Yes,Yes,18.18,No
Treated,L4T,Peel,Casual Dining,Franchise,4,Yes,No,22.2,No
Treated,L6E,York,Casual Dining,No,4,Yes,Yes,16.87,No
Treated,M9S,Toronto,Family Style,No,20,Yes,No,17.7,No
Treated,L1N,Durham,Fine Dining,No,8,Yes,Yes,17.98,No
Treated,L4Y,Peel,Family Style,Franchise,14,No,Yes,18.2,No
Treated,M8N,Toronto,Casual Dining,No,3,Yes,No,20.81,Yes
Treated,M7M,Toronto,Premium Casual,Franchise,3,Yes,No,22.34,No
Treated,L6C,York,Fast Food,No,10,Yes,Yes,17.92,No
Treated,L6T,Peel,Fast Casual,No,2,Yes,No,16.1,No
Treated,L5H,Peel,Casual Dining,No,15,No,No,20.52,No
Treated,M4K,Toronto,Fast Casual,Franchise,19,Yes,No,14.37,No
Treated,L9N,York,Premium Casual,No,7,Yes,Yes,18.16,No
Treated,L0P,Halton,Family Style,No,0,No,No,17.9,No
Treated,M7K,Toronto,Family Style,No,7,Yes,No,17.59,No
Treated,L1H,Durham,Fine Dining,No,10,Yes,Yes,20.26,No
Treated,L6X,Peel,Premium Casual,No,3,Yes,No,18.06,No
Treated,M9A,Toronto,Casual Dining,Franchise,21,Yes,No,18.35,No
Treated,L9P,Durham,Premium Casual,No,8,Yes,Yes,18.36,No
Treated,L6Z,Peel,Fast Casual,Franchise,0,Yes,Yes,17.91,No
Treated,L6X,Peel,Casual Dining,No,17,Yes,No,23.75,No
Treated,L4E,York,Fast Food,No,8,Yes,Yes,16.55,Yes
Treated,M9P,Toronto,Casual Dining,No,7,Yes,No,17.25,No
Treated,L5S,Peel,Casual Dining,Franchise,14,Yes,No,22.2,No
Treated,L0G,York,Family Style,No,7,Yes,No,17.33,No
Treated,L0H,York,Premium Casual,No,13,Yes,Yes,19.49,No
Treated,L4Z,Peel,Premium Casual,No,2,Yes,Yes,20.15,No
Treated,L0J,York,Fast Food,Franchise,5,Yes,No,20.48,No
Treated,L4W,Peel,Casual Dining,No,12,Yes,No,17.42,No
Treated,L4Z,Peel,Casual Dining,No,20,Yes,Yes,20.35,No
Treated,L7K,Peel,Casual Dining,No,15,No,Yes,12.96,Yes
Treated,M5F,Toronto,Fine Dining,No,12,Yes,No,19.91,No
Treated,M2K,Toronto,Premium Casual,Franchise,7,No,Yes,21.08,No
Treated,M0W,Toronto,Premium Casual,No,1,Yes,No,15.86,No
Treated,L7N,Halton,Fast Casual,Franchise,9,No,No,16.26,No
Treated,L9N,York,Premium Casual,No,5,Yes,No,19.32,No
Treated,M7E,Toronto,Premium Casual,No,7,Yes,No,21.68,No
Treated,L9L,Durham,Casual Dining,No,11,Yes,Yes,24.18,No
Treated,M2X,Toronto,Premium Casual,No,12,Yes,No,14.61,No
Treated,M6R,Toronto,Casual Dining,Franchise,2,Yes,No,14.33,No
Treated,M6L,Toronto,Premium Casual,No,10,Yes,Yes,21.14,No
Treated,M4G,Toronto,Casual Dining,Franchise,9,Yes,No,21.45,No
Treated,L7S,Halton,Fine Dining,Franchise,4,Yes,No,20.41,No
Treated,L6L,Halton,Fine Dining,Franchise,4,Yes,Yes,23.41,No
Treated,L0C,Durham,Fast Casual,No,13,Yes,No,15.85,No
Treated,L4Y,Peel,Casual Dining,No,6,Yes,No,19.4,Yes
Treated,L6K,Halton,Fast Casual,No,4,Yes,No,19.49,No
Treated,L5S,Peel,Fine Dining,Franchise,10,Yes,No,14.35,No
Treated,L6J,Halton,Fine Dining,No,1,Yes,No,19.99,No
Treated,M0J,Toronto,Family Style,No,2,Yes,Yes,16.24,No
Treated,M7V,Toronto,Casual Dining,No,18,Yes,Yes,19.76,No
Treated,L5A,Peel,Premium Casual,No,12,Yes,Yes,17.9,No
Treated,L5A,Peel,Casual Dining,Franchise,14,Yes,No,17.57,No
Treated,L7A,Peel,Fast Food,Franchise,2,No,No,20.73,No
Treated,M8A,Toronto,Fast Casual,No,18,Yes,No,21.58,No
Treated,L0E,Durham,Fine Dining,No,9,Yes,No,20.95,No
Treated,L7B,York,Fast Food,Franchise,7,Yes,No,21.74,No
Treated,L9N,York,Fast Casual,No,3,Yes,Yes,18.34,No
Treated,L4T,Peel,Family Style,Franchise,3,Yes,Yes,17.43,No
Treated,L7B,York,Casual Dining,Franchise,9,Yes,Yes,19.24,No
Treated,L6B,York,Fast Casual,No,3,Yes,Yes,18.17,No
Treated,M2W,Toronto,Premium Casual,No,16,Yes,Yes,16,No
Treated,L1M,Durham,Family Style,Franchise,11,No,No,20.25,No
Treated,L0P,Halton,Family Style,No,12,Yes,Yes,13.37,No
Treated,L6K,Halton,Premium Casual,No,8,Yes,Yes,17.4,No
Treated,L7N,Halton,Fast Casual,No,1,Yes,Yes,24.54,No
Treated,M6X,Toronto,Casual Dining,No,13,Yes,Yes,22.22,No
Treated,L9N,York,Casual Dining,Franchise,8,Yes,No,18.19,No
Treated,L6V,Peel,Fast Casual,No,14,No,No,19.81,Yes
Treated,M9H,Toronto,Fast Food,No,12,Yes,Yes,17.67,Yes
Treated,L5M,Peel,Fast Casual,Franchise,10,Yes,Yes,14.86,No
Treated,M7W,Toronto,Fast Casual,No,15,Yes,Yes,18.87,Yes
Treated,L5N,Peel,Casual Dining,No,3,Yes,No,20.3,No
Treated,L0C,Durham,Fine Dining,No,11,Yes,No,20.34,No
Treated,L3R,York,Fine Dining,Franchise,19,Yes,No,18.68,No
Treated,L7P,Halton,Casual Dining,No,2,Yes,No,19.74,No
Treated,L3Y,York,Fast Casual,No,1,No,Yes,17.1,No
Treated,L1K,Durham,Fine Dining,Franchise,8,Yes,No,20.27,No
Treated,M7G,Toronto,Fast Food,No,16,Yes,No,19.59,No
Treated,L6M,Halton,Fast Casual,Franchise,6,Yes,No,16.2,Yes
Treated,L4V,Peel,Fast Food,Franchise,6,Yes,No,17.97,No
Treated,M9L,Toronto,Fast Casual,Franchise,1,Yes,No,19.31,No
Treated,L7C,Peel,Fast Casual,No,12,Yes,No,17.35,No
Treated,L0P,Halton,Casual Dining,Franchise,18,No,No,20.54,No
Treated,L7K,Peel,Premium Casual,Franchise,2,Yes,Yes,19.64,No
Treated,L5H,Peel,Casual Dining,No,4,Yes,Yes,16.47,No
Treated,M5Y,Toronto,Fast Casual,No,6,Yes,No,15.94,No
Treated,L9N,York,Family Style,No,8,Yes,No,15.93,No
Treated,L7E,York,Family Style,No,19,Yes,No,22.48,No
Treated,L6X,Peel,Casual Dining,Franchise,14,Yes,No,19.03,Yes
Treated,L0P,Halton,Family Style,Franchise,5,Yes,No,19.04,No
Treated,L9T,Halton,Casual Dining,No,13,Yes,Yes,21.57,No
Treated,M3M,Toronto,Fast Casual,No,1,Yes,Yes,12.97,No
Treated,M2Y,Toronto,Casual Dining,Franchise,13,Yes,No,16.09,No
Treated,L4A,York,Family Style,No,8,Yes,No,13.63,No
Treated,L3P,York,Fast Casual,No,7,Yes,No,21.25,No
Treated,L0G,York,Premium Casual,Franchise,5,Yes,Yes,23.65,No
Treated,L9P,Durham,Fast Food,No,2,Yes,No,17.26,Yes
Treated,L6X,Peel,Premium Casual,No,16,Yes,No,16.6,No
Treated,L7E,York,Family Style,No,3,No,Yes,18.36,No
Treated,M6H,Toronto,Casual Dining,No,23,No,No,20.62,No
Treated,L9P,Durham,Fast Food,No,19,Yes,No,19.2,No
Treated,L4Y,Peel,Casual Dining,No,7,Yes,Yes,20.66,No
Treated,L6Z,Peel,Fine Dining,No,16,No,Yes,19.43,No
Treated,M0C,Toronto,Family Style,No,9,Yes,No,18.57,No
Treated,L9N,York,Fine Dining,No,9,Yes,No,20.17,No
Treated,L9P,Durham,Family Style,Franchise,16,Yes,Yes,16.88,No
Treated,L7A,Peel,Fast Casual,No,18,Yes,No,20.54,No
Treated,M5A,Toronto,Premium Casual,No,7,Yes,No,24.36,No
Treated,L0B,Durham,Premium Casual,Franchise,5,Yes,No,18.35,No
Treated,L9N,York,Casual Dining,No,6,Yes,No,22.91,No
Treated,M4R,Toronto,Family Style,Franchise,4,Yes,No,15.01,No
Treated,L3S,York,Premium Casual,No,5,No,No,17.97,Yes
Treated,M4O,Toronto,Premium Casual,Franchise,6,No,No,12.68,No
Treated,L9P,Durham,Fine Dining,No,4,No,No,17.14,No
Treated,M0S,Toronto,Fast Food,Franchise,12,Yes,Yes,20.59,No
Treated,M1J,Toronto,Family Style,Franchise,9,Yes,No,18.75,No
Treated,L6E,York,Fast Casual,Franchise,17,Yes,No,22.06,No
Treated,L5P,Peel,Fast Food,No,21,Yes,No,15.3,No
Treated,L9T,Halton,Casual Dining,No,15,Yes,Yes,20.41,No
Treated,L9P,Durham,Fast Casual,No,6,Yes,No,19.87,No
Treated,L9E,Halton,Fast Food,No,4,Yes,Yes,16.4,Yes
Treated,M2N,Toronto,Casual Dining,No,1,Yes,Yes,19.28,No
Treated,M1L,Toronto,Fast Food,No,12,Yes,No,21.2,No
Treated,L6J,Halton,Casual Dining,No,12,Yes,No,20.66,No
Treated,L0E,Durham,Casual Dining,No,10,Yes,No,21.98,Yes
Treated,M8J,Toronto,Premium Casual,No,14,Yes,No,18.27,No
Treated,L7K,Peel,Fine Dining,No,9,Yes,No,15.42,No
